date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:59:45	71855/71855	---MCZ	200	added ('OK')	text/html	etag:W/%2211195e53acb00fc1c4cfb663b93b9823%22	https://soho.shadcnuikit.com/chats	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/chats.html	(from )
00:59:45	2257/2257	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22bec48a01e31a66fe2213d207dc4e7328%22	https://soho.shadcnuikit.com/robots.txt		(from )
00:59:46	48556/48556	---M--	200	added ('OK')	font/woff2	etag:%22d4fe31e6a2aebc06b8d6e558c9141119%22	https://soho.shadcnuikit.com/_next/static/media/a34f9d1faa5f3315-s.p.woff2	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/media/a34f9d1faa5f3315-s.p.woff2	(from https://soho.shadcnuikit.com/chats)
00:59:46	56577/56577	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22fff876d37393e6770c9546c203f1a265%22	https://soho.shadcnuikit.com/not-selected-chat.svg	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/not-selected-chat.svg	(from https://soho.shadcnuikit.com/chats)
00:59:46	56577/56577	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2219b0386c7c68e7dd7d89198f423a332a%22	https://soho.shadcnuikit.com/not-selected-chat-light.svg	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/not-selected-chat-light.svg	(from https://soho.shadcnuikit.com/chats)
00:59:47	34647/34647	---MCZ	200	added ('OK')	text/css	etag:W/%2250b84d6bf506a122311da8e2a3f76869%22	https://soho.shadcnuikit.com/_next/static/css/7b5a35c1c53c33b6.css	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/css/7b5a35c1c53c33b6.css	(from https://soho.shadcnuikit.com/chats)
00:59:48	3915/3915	---MCZ	200	added ('OK')	application/javascript	etag:W/%223e5c96b213fc93e82c8f4ed5b987b3ee%22	https://soho.shadcnuikit.com/_next/static/chunks/webpack-45a3b60670193fe9.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/webpack-45a3b60670193fe9.js	(from https://soho.shadcnuikit.com/chats)
00:59:48	172831/172831	---MCZ	200	added ('OK')	application/javascript	etag:W/%2289ef5cbeacece4bcb75bbefbaec33dc9%22	https://soho.shadcnuikit.com/_next/static/chunks/fd9d1056-82fc2a82826c61b9.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/fd9d1056-82fc2a82826c61b9.js	(from https://soho.shadcnuikit.com/chats)
00:59:49	123350/123350	---MCZ	200	added ('OK')	application/javascript	etag:W/%222b5e2fbbbfc293ed54f4b26e81008499%22	https://soho.shadcnuikit.com/_next/static/chunks/23-014408e0d92be2be.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/23-014408e0d92be2be.js	(from https://soho.shadcnuikit.com/chats)
00:59:49	462/462	---M--	200	added ('OK')	application/javascript	etag:%228eedc9e8ab2a40373eb62a03672a39d1%22	https://soho.shadcnuikit.com/_next/static/chunks/main-app-f73cdb3bce740b12.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/main-app-f73cdb3bce740b12.js	(from https://soho.shadcnuikit.com/chats)
00:59:49	22734/22734	---MCZ	200	added ('OK')	application/javascript	etag:W/%22733eeb018198645071a2e504cab632fe%22	https://soho.shadcnuikit.com/_next/static/chunks/183-1dc5c3154b4d62df.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/183-1dc5c3154b4d62df.js	(from https://soho.shadcnuikit.com/chats)
00:59:50	20537/20537	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c770a9f4b0c4245cb72ee63bc0298a3a%22	https://soho.shadcnuikit.com/_next/static/chunks/231-f892f4c16cb55be5.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/231-f892f4c16cb55be5.js	(from https://soho.shadcnuikit.com/chats)
00:59:50	77081/77081	---MCZ	200	added ('OK')	application/javascript	etag:W/%2243f88fb3cbf0011951e6e4e54a5a162a%22	https://soho.shadcnuikit.com/_next/static/chunks/361-b651e73da552a30d.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/361-b651e73da552a30d.js	(from https://soho.shadcnuikit.com/chats)
00:59:51	13031/13031	---MCZ	200	added ('OK')	application/javascript	etag:W/%2289eece10727e324ae2ee0ca9538b1d8e%22	https://soho.shadcnuikit.com/_next/static/chunks/173-2473fe3d875d5aeb.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/173-2473fe3d875d5aeb.js	(from https://soho.shadcnuikit.com/chats)
00:59:52	13324/13324	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d3b3cb088fe84bf40d8b5d27bba413c9%22	https://soho.shadcnuikit.com/_next/static/chunks/874-128502eea3ab2d0d.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/874-128502eea3ab2d0d.js	(from https://soho.shadcnuikit.com/chats)
00:59:52	16999/16999	---MCZ	200	added ('OK')	application/javascript	etag:W/%22080a1a79fbf4839171d5e197784678fa%22	https://soho.shadcnuikit.com/_next/static/chunks/27-4fd2f6eab708cffd.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/27-4fd2f6eab708cffd.js	(from https://soho.shadcnuikit.com/chats)
00:59:52	20283/20283	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c472af218a453b4dde72a675296d057f%22	https://soho.shadcnuikit.com/_next/static/chunks/app/(auth)/layout-3abe395f118f5d9b.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/app/(auth)/layout-3abe395f118f5d9b.js	(from https://soho.shadcnuikit.com/chats)
00:59:53	5350/5350	---MCZ	200	added ('OK')	application/javascript	etag:W/%223983d312dfe014941ac5337ce3ec34c6%22	https://soho.shadcnuikit.com/_next/static/chunks/app/layout-6394dceb17ca38c4.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/app/layout-6394dceb17ca38c4.js	(from https://soho.shadcnuikit.com/chats)
00:59:54	14650/14650	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a339f1ccf45e02ac14a3ec4bb7549c04%22	https://soho.shadcnuikit.com/_next/static/chunks/924-af899a88b2eae99b.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/924-af899a88b2eae99b.js	(from https://soho.shadcnuikit.com/chats)
00:59:54	11792/11792	---MCZ	200	added ('OK')	application/javascript	etag:W/%223f1b80e0b3cd9ab562a289eb6fbea104%22	https://soho.shadcnuikit.com/_next/static/chunks/2-43599fba25b7e005.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/2-43599fba25b7e005.js	(from https://soho.shadcnuikit.com/chats)
00:59:55	30690/30690	---MCZ	200	added ('OK')	application/javascript	etag:W/%226eec75cd934eaaa9a86ad25a352a3a6d%22	https://soho.shadcnuikit.com/_next/static/chunks/533-5fe6ad6e029c9f39.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/533-5fe6ad6e029c9f39.js	(from https://soho.shadcnuikit.com/chats)
00:59:55	306/306	---M--	200	added ('OK')	application/javascript	etag:%22877b74ef5d27b72d13b8828c74b70ea6%22	https://soho.shadcnuikit.com/_next/static/chunks/app/(auth)/chats/page-c0ef48da03a39424.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/app/(auth)/chats/page-c0ef48da03a39424.js	(from https://soho.shadcnuikit.com/chats)
00:59:55	25931/25931	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225814ae26ee029e2695467a551d400e81%22	https://soho.shadcnuikit.com/favicon.ico	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/favicon.ico	(from https://soho.shadcnuikit.com/chats)
00:59:56	91381/91381	---MCZ	200	added ('OK')	application/javascript	etag:W/%2279330112775102f91e1010318bae2bd3%22	https://soho.shadcnuikit.com/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	(from https://soho.shadcnuikit.com/chats)
00:59:57	1184/1184	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22efbd2ab3bd6b9d815efb3495a473dae7%22	https://soho.shadcnuikit.com/logo.svg	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/logo.svg	(from https://soho.shadcnuikit.com/chats)
00:59:58	31954/31954	---MCZ	200	added ('OK')	text/html	etag:W/%2202d0235495ecc328e58d6e7f6939839a%22	https://soho.shadcnuikit.com/status	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/status.html	(from https://soho.shadcnuikit.com/chats)
00:59:58	61575/61575	---MCZ	200	added ('OK')	text/html	etag:W/%22f6e4262041c40afa04412b34a6c8792a%22	https://soho.shadcnuikit.com/contacts	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/contacts.html	(from https://soho.shadcnuikit.com/chats)
00:59:59	28577/28577	---MCZ	200	added ('OK')	text/html	etag:W/%22bde561512b8fe7b7f7a46fd504b43aa0%22	https://soho.shadcnuikit.com/archive	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/archive.html	(from https://soho.shadcnuikit.com/chats)
01:00:00	16506/16506	---MCZ	200	added ('OK')	text/html	etag:W/%22ef141c0bdaad68bd7fdb6d3d2ac0cef6%22	https://soho.shadcnuikit.com/login	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/login.html	(from https://soho.shadcnuikit.com/chats)
01:00:01	25908/25908	---M--	200	added ('OK')	font/woff2	etag:%2243828e14271c77b87e3ed582dbff9f74%22	https://soho.shadcnuikit.com/_next/static/media/55c55f0601d81cf3-s.woff2	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/media/55c55f0601d81cf3-s.woff2	(from https://soho.shadcnuikit.com/_next/static/css/7b5a35c1c53c33b6.css)
01:00:01	18820/18820	---M--	200	added ('OK')	font/woff2	etag:%22befd9c0fdfa3d8a645d5f95717ed6420%22	https://soho.shadcnuikit.com/_next/static/media/26a46d62cd723877-s.woff2	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/media/26a46d62cd723877-s.woff2	(from https://soho.shadcnuikit.com/_next/static/css/7b5a35c1c53c33b6.css)
01:00:02	11220/11220	---M--	200	added ('OK')	font/woff2	etag:%22e360c61c5bd8d90639fd4503c829c2dc%22	https://soho.shadcnuikit.com/_next/static/media/97e0cb1ae144a2a9-s.woff2	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/media/97e0cb1ae144a2a9-s.woff2	(from https://soho.shadcnuikit.com/_next/static/css/7b5a35c1c53c33b6.css)
01:00:02	19072/19072	---M--	200	added ('OK')	font/woff2	etag:%22f0b86e7c24f455280b8df606b89af891%22	https://soho.shadcnuikit.com/_next/static/media/581909926a08bbc8-s.woff2	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/media/581909926a08bbc8-s.woff2	(from https://soho.shadcnuikit.com/_next/static/css/7b5a35c1c53c33b6.css)
01:00:03	10280/10280	---M--	200	added ('OK')	font/woff2	etag:%22d54db44de5ccb18886ece2fda72bdfe0%22	https://soho.shadcnuikit.com/_next/static/media/df0a9ae256c0569c-s.woff2	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/media/df0a9ae256c0569c-s.woff2	(from https://soho.shadcnuikit.com/_next/static/css/7b5a35c1c53c33b6.css)
01:00:03	74316/74316	---M--	200	added ('OK')	font/woff2	etag:%22621a07228c8ccbfd647918f1021b4868%22	https://soho.shadcnuikit.com/_next/static/media/6d93bde91c0c2823-s.woff2	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/media/6d93bde91c0c2823-s.woff2	(from https://soho.shadcnuikit.com/_next/static/css/7b5a35c1c53c33b6.css)
01:00:04	13179/13179	---MCZ	200	added ('OK')	text/css	etag:W/%22e0321fc8b17a24f9317255b2bc0a7850%22	https://soho.shadcnuikit.com/_next/static/css/d9380a14484539f6.css	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/css/d9380a14484539f6.css	(from https://soho.shadcnuikit.com/status)
01:00:04	103863/103863	---MCZ	200	added ('OK')	application/javascript	etag:W/%221bbb8f7cda6c20ba3b00ca86066ea6f7%22	https://soho.shadcnuikit.com/_next/static/chunks/560-be6f55fe6361baf7.js	C:/My%20Web%20Sites/soho/soho.shadcnuikit.com/_next/static/chunks/560-be6f55fe6361baf7.js	(from https://soho.shadcnuikit.com/status)
